conversation_id,timestamp,text,sender,birlesik_mesaj
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:33:45,"Merhaba, ben Hera. Size uygun mekanı veya firmayı bulmanız konusunda yardımcı olabilirim.",bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:33:45,Ne tür bir etkinlik yapmayı düşünüyorsunuz?,bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:33:51,Kına,user,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:33:54,"Harika, **kına gecesi** için yardımcı olabilirim! Şimdi birkaç detay daha öğrenmem gerekiyor:

1. **Hangi şehir ve ilçede** kına gecesi yapmak istiyorsunuz?
2. Nasıl bir hizmet arıyorsunuz? (Sadece mekan mı, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misiniz?)",bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:34:06,Diyarbakır’da hem düğün hem kına,user,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:34:16,"Çok güzel! **Diyarbakır’da hem düğün hem de kına gecesi** için seçenekler sunabilirim. Size en uygun mekan ve hizmetleri önerebilmem için birkaç bilgiye daha ihtiyacım var:

1. **Tahmini düğün ve kına tarihi** nedir? (Yıl-ay veya tam tarih olarak paylaşabilirsiniz.)
2. **Tahmini davetli sayısı** kaç olacak?
3. İkram tercihiniz nedir? (Yemekli, kokteyl, pasta ve meşrubat gibi)
4. Sadece mekan mı arıyorsunuz, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misiniz?
5. Kişi başı veya toplam **bütçeniz** nedir?

Bu bilgileri paylaşırsanız, Diyarbakır ve yakın ilçelerde size en uygun önerileri sunabilirim!",bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:35:27,"2 ay sonra düşünüyoruz 700 davetli gelecek ikram olarak içecek ve ,pasta ve meşrubat istiyoruz",user,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:35:36,"Teşekkürler, bilgiler için! Şu ana kadar elimde olanlar:

- **Etkinlik türü:** Düğün & Kına gecesi
- **Şehir:** Diyarbakır
- **Tarih:** Yaklaşık 2 ay sonra (Ağustos 2025)
- **Davetli sayısı:** 700 kişi
- **İkram tercihi:** Pasta ve meşrubat (yemeksiz, içecekli)

Şimdi birkaç detay daha rica edeceğim:
1. Sadece **mekan** mı arıyorsunuz, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misunuz?
2. **Kişi başı veya toplam bütçeniz** nedir? (Bütçenizi belirtirseniz, en uygun mekanları ve firmaları önerebilirim.)
3. Mekan tercihiniz var mı? (Açık alan, kapalı salon, havuz başı, kır düğünü vb.)

Bu detayları da paylaşırsanız, Diyarbakır ve yakın ilçelerde size en uygun mekan ve hizmetleri hemen önerebilirim!",bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:14,"Mekan ve fotoğraf ,100 bin tl bütçemiz var kapalı alanda",user,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:19,"İstediğiniz kriterlere uygun yeteri kadar sonuç bulamadım, ama beğenebileceğiniz bazı güzel alternatifler için tekrar arama yapıyorum...",bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:21,"Kullanıcının belirttiği kriterlere uygun mekan bulunamadığında, şu adımları takip eden bir mesaj oluştur:
1. Uygun mekan bulunamadığını bildir.
2. Kriterlerin genişletilmesi gerektiğini açıkla.
3. Kullanıcıya kriterleri esnetmesini veya yeni bir arama yapmasını öner.

Not: Bir sonraki mesajda Function Call kullanma; kullanıcı yeni bir arama yapmak isterse, uygun function call'u çalıştır.",bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:24,"Şu anda belirttiğiniz kriterlere (Diyarbakır, 700 kişi, kapalı alan, mekan + fotoğraf, 100 bin TL bütçe) tam olarak uyan bir mekan bulamadım. 

Ancak, isterseniz:
- **Yakın ilçelerde** veya Diyarbakır çevresinde arama yapabilirim,
- **Davetli sayısını** biraz azaltabilir veya
- **Bütçenizi** esnetebilirseniz,
daha fazla seçenek sunabilirim.

Kriterlerinizde bir değişiklik yapmak ister misiniz? Ya da farklı bir öneri ister misiniz? Size en iyi şekilde yardımcı olmak isterim!",bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:43,Davet sayısını 600 e çekelim o zaman,user,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:50,"İstediğiniz kriterlere uygun yeteri kadar sonuç bulamadım, ama beğenebileceğiniz bazı güzel alternatifler için tekrar arama yapıyorum...",bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:51,"Kullanıcının belirttiği kriterlere uygun mekan bulunamadığında, şu adımları takip eden bir mesaj oluştur:
1. Uygun mekan bulunamadığını bildir.
2. Kriterlerin genişletilmesi gerektiğini açıkla.
3. Kullanıcıya kriterleri esnetmesini veya yeni bir arama yapmasını öner.

Not: Bir sonraki mesajda Function Call kullanma; kullanıcı yeni bir arama yapmak isterse, uygun function call'u çalıştır.",bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:57,"Ne yazık ki, **Diyarbakır'da 600 kişilik, kapalı alanda, mekan ve fotoğraf hizmeti dahil, 100 bin TL bütçeyle** tam olarak uygun bir mekan bulamadım.

Dilerseniz:
- **Yakın ilçelerde** veya Diyarbakır çevresinde arama yapabilirim,
- **Bütçenizi** biraz artırabilir ya da
- **Davetli sayısını** daha da azaltabilirsiniz.

Kriterlerinizde bir değişiklik yapmak ister misiniz? Alternatif olarak, daha küçük kapasiteli veya açık/yarı açık alan mekanları da önerebilirim. Nasıl ilerlemek istersiniz?",bot,
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-11T20:00:03,Conversation resolved automatically.,bot,
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:14,Ne tür bir etkinlik yapmayı düşünüyorsunuz?,bot,
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:14,"Merhaba, ben Hera. Size uygun mekanı veya firmayı bulmanız konusunda yardımcı olabilirim.",bot,
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:19,Düğün,user,
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:24,"Harika! **Düğün** için mekan veya hizmet arayışındasınız. Size en iyi önerileri sunabilmem için birkaç bilgiye daha ihtiyacım olacak:

1. **Düğününüzü hangi şehir ve ilçede yapmak istiyorsunuz?**
2. **Tahmini düğün tarihiniz belli mi?**
3. **Yaklaşık kaç davetli olacak?**
4. **Nasıl bir hizmet arıyorsunuz?** (Sadece mekan mı, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misiniz?)

Sırayla ilerleyelim! Öncelikle, düğününüzü hangi şehir ve ilçede planlıyorsunuz?",bot,
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:52,Adıyaman Kahta,user,
